PaperID,database,authors,year,journal,doi,title,accession,pmid,review,paper_notes,source_review_paper,exclusion_notes_primary_screen
33,WOS,"Cogswell-Hawkinson, Ann; Bowen, Richard; James, Stephanie; Gardiner, David; Calisher, Charles H.; Adams, Rick; Schountz, Tony",2012,JOURNAL OF VIROLOGY,10.1128/JVI.00201-12,"Tacaribe virusCauses Fatal Infection of An Ostensible Reservoir Host, the Jamaican Fruit Bat",WOS:000303787100035,22379103,N,,,
34,WOS,"SULKIN, SE; ALLEN, R; SIMS, R; KRUTZSCH, PH; KIM, C",1960,JOURNAL OF EXPERIMENTAL MEDICINE,10.1084/jem.112.4.595,STUDIES ON THE PATHOGENESIS OF RABIES IN INSECTIVOROUS BATS .2. INFLUENCE OF ENVIRONMENTAL TEMPERATURE,WOS:A1960WC21400004,19867178,N,,,
35,WOS,"DONALDSON, AI",1970,AMERICAN JOURNAL OF EPIDEMIOLOGY,10.1093/oxfordjournals.aje.a121185,BATS AS POSSIBLE MAINTENANCE HOSTS FOR VESICULAR STOMATITIS VIRUS,WOS:A1970H102000006,4317161,N,,,
38,WOS,"NOSEK, J; REHACEK, J; GRESIKOVA, M",1961,ACTA VIROLOGICA,,PERSISTENCE OF Tick-borne encephalitis virusIN HIBERNATING BATS,WOS:A19612375A00007,NA,N,,,
39,WOS,"O KOZUCH, J NOSEK, E ERNEK, M LICHARD, P ALBRECHT",1963,ACTA VIROLOGICA,,PERSISTENCE OF Tick-borne encephalitis virusIN HIBERNATING HEDGEHOGS AND DORMICE,,14064835,N,,,
40,WOS,"Gerrard, Diana L; Hawkinson, Ann; Sherman, Tyler; Modahl, Cassandra M; Hume, Gretchen; Campbell, Corey L; Schountz, Tony; Frietze, Seth",2017,mSphere,10.1128/mSphere.00245-17,Transcriptomic Signatures of Tacaribe Virus-Infected Jamaican Fruit Bats.,MEDLINE:28959737,28959737,N,,,
42,WOS,"PAVRI, KM; SINGH, KRP",1968,INDIAN JOURNAL OF MEDICAL RESEARCH,,KYASANUR FOREST DISEASE VIRUS INFECTION IN FRUGIVOROUS BAT CYNOPTERUS SPHINX,WOS:A1968C125600007,5711601,N,,,
44,WOS,"BAER, GM; BALES, GL",1967,JOURNAL OF INFECTIOUS DISEASES,10.1093/infdis/117.1.82,EXPERIMENTAL RABIES INFECTION IN MEXICAN FREETAIL BAT,WOS:A19679119300013,6067473,N,,,
46,WOS,"SIMS, RA; SULKIN, SE; ALLEN, R",1963,JOURNAL OF INFECTIOUS DISEASES,10.1093/infdis/112.1.17,STUDIES ON PATHOGENESIS OF RABIES IN INSECTIVOROUS BATS .3. INFLUENCE OF GRAVID STATE,WOS:A19635433B00009,13977575,N,,,
47,WOS,"SULKIN, SE",1962,AMERICAN JOURNAL OF PUBLIC HEALTH AND THE NATIONS HEALTH,10.2105/AJPH.52.3.489,BAT RABIES - EXPERIMENTAL DEMONSTRATION OF RESERVOIRING MECHANISM,WOS:A1962B391400014,13918298,N,,,
52,WOS,"BHAT, HR; SREENIVASAN, MA; NAIK, SV",1979,INDIAN JOURNAL OF MEDICAL RESEARCH,,SUSCEPTIBILITY OF COMMON GIANT FLYING SQUIRREL TO EXPERIMENTAL-INFECTION WITH KFD VIRUS,WOS:A1979GW25400001,229076,N,,,
53,WOS,"Middleton, D. J.; Morrissy, C. J.; van der Heide, B. M.; Russell, G. M.; Braun, M. A.; Westbury, H. A.; Halpin, K.; Daniels, P. W.",2007,JOURNAL OF COMPARATIVE PATHOLOGY,10.1016/j.jcpa.2007.03.002,Experimental Nipah virus infection in pteropid bats (Pteropus poliocephalus),WOS:000247096500007,17498518,N,,,
55,WOS,"Begeman, Lineke; Suu-Ire, Richard; Banyard, Ashley C.; Drosten, Christian; Eggerbauer, Elisa; Freuling, Conrad M.; Gibson, Louise; Goharriz, Hooman; Horton, Daniel L.; Jennings, Daisy; Marston, Denise A.; Ntiamoa-Baidu, Yaa; Riesle Sbarbaro, Silke; Selden, David; Wise, Emma L.; Kuiken, Thijs; Fooks, Anthony R.; Mueller, Thomas; Wood, James L. N.; Cunningham, Andrew A.",2020,PLOS NEGLECTED TROPICAL DISEASES,10.1371/journal.pntd.0008898,Experimental Lagos bat virus infection in straw-colored fruit bats: A suitable model for bat rabies in a natural reservoir species,WOS:000600200300006,33320860,N,,,
56,WOS,"YOUNG, NA; JOHNSON, KM; GAULD, LW",1969,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,10.4269/ajtmh.1969.18.290,VIRUSES OF VENEZUELAN EQUINE ENCEPHALOMYELITIS COMPLEX - EXPERIMENTAL INFECTION OF PANAMANIAN RODENTS,WOS:A1969C970500016,5777742,N,,,
60,WOS,"BURGDORFER, W",1959,JOURNAL OF INFECTIOUS DISEASES,10.1093/infdis/104.1.101,COLORADO TICK FEVER - BEHAVIOR OF CTF VIRUS IN THE PORCUPINE,WOS:A1959WA08600014,13631293,N,,,
63,WOS,"Davis, April D.; Jarvis, Jodie A.; Pouliott, Craig; Rudd, Robert J.",2013,PLOS ONE,10.1371/journal.pone.0064808,Rabies Virus Infection in Eptesicus fuscus Bats Born in Captivity (Naive Bats),WOS:000319799900109,NA,N,,,
66,WOS,"Setien, AA; Brochier, B; Tordo, N; De Paz, O; Desmettre, P; Peharpre, D; Pastoret, PP",1998,VACCINE,10.1016/S0264-410X(98)80108-4,Experimental rabies infection and oral vaccination in vampire bats (Desmodus rotundus),WOS:000074539100009,9682368,N,,,
70,WOS,"Storm, Nadia; van Vuren, Petrus Jansen; Markotter, Wanda; Paweska, Janusz T.",2018,VIRUSES-BASEL,10.3390/v10020073,Antibody Responses to Marburg Virus in Egyptian Rousette Bats and Their Role in Protection against Infection,WOS:000427544100023,29439384,N,,,
71,WOS,"BHAT, HR; SREENIVASAN, MA; GOVERDHAN, MK; NAIK, SV; BANERJEE, K",1976,INDIAN JOURNAL OF MEDICAL RESEARCH,,"SUSCEPTIBILITY OF HYSTRIX INDICA KERR, 1792, INDIAN CRESTED PORCUPINE (RODENTIA HYSTRICIDAE) TO KFD VIRUS",WOS:A1976CN78000002,191392,N,,,
75,WOS,"PAVRI, KM; SINGH, KRP",1965,INDIAN JOURNAL OF MEDICAL RESEARCH,,DEMONSTRATION OF ANTIBODIES AGAINST VIRUS OF KYASANUR FOREST DISEASE (KFD) IN FRUGIVOROUS BAT ROUSETTUS LESCHENAULTI NEAR POONA INDIA,WOS:A19657085600007,5849871,N,,,
78,WOS,"Falendysz, Elizabeth A.; Lopera, Juan G.; Doty, Jeffrey B.; Nakazawa, Yoshinori; Crill, Colleen; Lorenzsonn, Faye; Kalemba, Lem's N.; Ronderos, Monica D.; Mejia, Andres; Malekani, Jean M.; Karem, Kevin; Carroll, Darin S.; Osorio, Jorge E.; Rocke, Tonie E.",2017,PLOS NEGLECTED TROPICAL DISEASES,10.1371/journal.pntd.0005809,Characterization of Monkeypox virus infection in African rope squirrels (Funisciurus sp.),WOS:000411068800028,28827792,N,,,
84,WOS,"McINTOSH, B. M.",1961,TRANS ROY SOC TROP MED AND HYG,10.1016/0035-9203(61)90041-4,Susceptibility of some African wild rodents to infection with various arthropod-borne viruses,BCI:BCI19613600042020,13774008,N,,,
95,WOS,"Madrieres, Sarah; Tatard, Caroline; Murri, Severine; Vulin, Johann; Galan, Maxime; Piry, Sylvain; Pulido, Coralie; Loiseau, Anne; Artige, Emmanuelle; Benoit, Laure; Lemenager, Nicolas; Lakhdar, Latifa; Charbonnel, Nathalie; Marianneau, Philippe; Castel, Guillaume",2020,PATHOGENS,10.3390/pathogens9100789,How Bank Vole-PUUV Interactions Influence the Eco-Evolutionary Processes Driving Nephropathia Epidemica Epidemiology-An Experimental and Genomic Approach,WOS:000586960500001,32993044,N,,,
104,WOS,FEDERER K E,1969,Zentralblatt fuer Veterinaermedizin Reihe B,,SUSCEPTIBILITY OF THE AGOUTI DASYPROCTA-AGUTI TO FOOT-AND-MOUTH DISEASE VIRUS,BCI:BCI197051137701,4320315,N,,,
109,WOS,"SEYMOUR, C; DICKERMAN, RW; MARTIN, MS",1978,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,10.4269/ajtmh.1978.27.297,VENEZUELAN ENCEPHALITIS-VIRUS INFECTION IN NEOTROPICAL BATS .2. EXPERIMENTAL INFECTIONS,WOS:A1978EU90500016,646022,N,,,
111,WOS,"MCLEAN, RG; SZMYD, DM; CALISHER, CH",1982,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,10.4269/ajtmh.1982.31.569,EXPERIMENTAL STUDIES OF RIO-GRANDE VIRUS IN RODENT HOSTS,WOS:A1982NR15700024,6282148,N,,,
115,WOS,"Gorka, Marco; Schinkoethe, Jan; Ulrich, Reiner; Ciminski, Kevin; Schwemmle, Martin; Beer, Martin; Hoffmann, Donata",2020,VIRUSES-BASEL,10.3390/v12020232,Characterization of Experimental Oro-Nasal Inoculation of Seba's Short-Tailed Bats (Carollia perspicillata) with Bat Influenza A Virus H18N11,WOS:000521256600083,32093076,N,,,
121,WOS,"MARION, PL; KNIGHT, SS; SALAZAR, FH; POPPER, H; ROBINSON, WS",1983,HEPATOLOGY,,GROUND-SQUIRREL HEPATITIS-VIRUS INFECTION,WOS:A1983RA12900008,6862363,N,,,
